1,23161604,,,3,Python
1,6296547,,,1,Java
1,25886711,,,0,Java
1,15400917,,,3,PHP
2,15401657,,15400917,1,
1,4428109,,,22,Java
2,10030334,,4428109,-1,
2,4431636,,4428109,3,
2,19366597,,4428109,-1,
2,25563548,,4428109,0,
2,21996557,,4428109,-1,
2,5234682,,4428109,24,
1,5934130,,,1,C#
2,5934388,,5934130,0,
1,27864753,,,-2,Python
1,14912352,,,0,Java
2,14943609,,14912352,1,
1,22014381,,,0,Java
1,22906206,,,1,C++
2,22906551,,22906206,1,
1,16158839,,,2,Java
2,16191768,,16158839,0,
1,18991999,,,1,PHP
1,22864329,,,1,Python
2,22864469,,22864329,5,
1,11904963,,,-2,Java
1,9440424,,,1,Java
1,26548988,,,0,C#
2,26549589,,26548988,1,
1,26254298,,,0,JavaScript
2,26406793,,26254298,0,
1,1275960,,,1,JavaScript
2,1275977,,1275960,0,
2,1275989,,1275960,1,
2,1275997,,1275960,3,
2,1276252,,1275960,5,
1,17679853,,,0,C#
2,17680340,,17679853,0,
2,17680459,,17679853,1,
1,19467122,,,3,CSS
1,18781063,,,14,Objective-C
2,19248062,,18781063,4,
2,18844856,,18781063,30,
2,18848908,,18781063,3,
2,19896073,,18781063,2,
1,1158084,,,2,C++
2,1158306,,1158084,6,
2,1158324,,1158084,1,
2,1158401,,1158084,2,
1,15741620,,,0,C++
1,27534907,,,2,JavaScript
2,27535044,,27534907,0,
1,10745849,,,1,C++
1,11178061,,,15,Python
2,11178085,,11178061,5,
2,14679742,,11178061,9,
1,25346963,,,3,PHP
1,16705308,,,0,C++
2,16705387,,16705308,1,
1,8356275,,,0,JavaScript
2,8359110,,8356275,1,
1,7173379,,,0,Java
2,7173499,,7173379,3,
1,10291406,,,0,Java
2,10291461,,10291406,1,
2,10291506,,10291406,3,
2,10291569,,10291406,0,
1,12706830,,,0,Java
1,12827291,,,0,PHP
1,23157985,,,0,JavaScript
1,13355665,,,0,PHP
2,13356849,,13355665,0,
1,12463840,,,0,C++
1,10328630,,,2,JavaScript
2,10328889,,10328630,7,
1,14236633,,,0,Python
1,23907118,,,0,Java
2,23907210,,23907118,7,
2,23907218,,23907118,0,
2,23907225,,23907118,0,
2,23907344,,23907118,1,
1,28708497,,,5,C++
1,23284133,,,1,C#
1,12548111,,,0,Ruby
1,28334189,,,1,Haskell
2,28335242,,28334189,1,
1,3269512,,,2,PHP
2,3270413,,3269512,5,
1,27411861,,,0,Python
1,1510678,,,2,Java
2,1510721,,1510678,3,
1,2847640,,,16,Java
2,2848161,,2847640,17,
2,2855695,,2847640,1,
2,2891552,,2847640,0,
2,6654807,,2847640,0,
1,13955385,,,3,Python
1,21367614,,,0,Objective-C
1,485984,,,1,Java
2,486030,,485984,0,
2,486081,,485984,0,
2,487854,,485984,0,
2,488849,,485984,1,
1,23687910,,,0,C#
1,4420871,,,0,C#
1,6375131,,,1,Python
1,1585126,,,0,C#
2,1589788,,1585126,0,
2,2904340,,1585126,2,
2,9042719,,1585126,1,
1,14461011,,,0,Python
2,14462069,,14461011,3,
1,9979655,,,0,C#
2,9979697,,9979655,0,
2,9979698,,9979655,0,
2,9979713,,9979655,9,
1,12586886,,,0,PHP
2,12587042,,12586886,0,
1,11174959,,,0,Java
1,15490875,,,0,Java
2,15490909,,15490875,0,
1,5300805,,,7,C#
2,5302143,,5300805,2,
2,5317317,,5300805,0,
1,23620700,,,0,PHP
1,19258254,,,1,Java
1,582663,,,0,C++
2,590416,,582663,0,
